what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416138371
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1435416138416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416147379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416150194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416153455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416154521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416154595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416156604
error,log,,,"Unable to validate connection settings.",1435416166539
error,log,,,"Unable to validate connection settings.",1435416166549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416166743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416173161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416174637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416291453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416299742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416300125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1435416309428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416317201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416319896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416329094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416342538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416343514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416345017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416345640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416377541
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416378446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416487637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416494109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416562438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1435416571022
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1435416583692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416586632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435416587914
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435416589561
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435416604792
