what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586006399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586017518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586019748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586027103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586032094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586033885
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586033944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435586037875
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586039475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435586041558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586042190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586048184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586052177
error,log,,,"Unable to validate connection settings.",1435586053002
error,log,,,"Unable to validate connection settings.",1435586053007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586053058
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586055918
error,log,,,"Unable to validate connection settings.",1435586065899
error,log,,,"Unable to validate connection settings.",1435586065905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586065962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586076710
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435586078424
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586083829
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1435586088032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586091489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586099687
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1435586099718
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435586101646
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435586101905
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435586106436
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586115464
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586130611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586154166
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435586162481
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435586162801
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435586167198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586170408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586223432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586239662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586249583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586250812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586274217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586299914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586301604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435586322821
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586324348
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435586353618
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1435586360102
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1435586364375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586365329
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineUp",1435586369631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586398874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586400065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1435586406698
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1435586410162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586410838
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1435586412914
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435586430852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435586433226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586433572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586437502
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1435586438405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1435586438715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435586439355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435586441892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435586442247
